/NM0/D X,/NM0/D Y
0,1.222609350396704e-12
0.024,1.230524697867211e-12
0.048,1.248444218582377e-12
0.07200000000000001,1.287307866162005e-12
0.096,1.370106318184134e-12
0.12,1.545129642823934e-12
0.144,1.913757583056405e-12
0.168,2.688716691073278e-12
0.192,4.316112675395361e-12
0.216,7.730800027478909e-12
0.24,1.489005489285051e-11
0.264,2.988671152867243e-11
0.288,6.126445929841351e-11
0.312,1.268135086400381e-10
0.336,2.634408413047724e-10
0.36,5.47286735886104e-10
0.3840000000000001,1.134106018378457e-09
0.4080000000000001,2.338434765429275e-09
0.4320000000000001,4.783193099009425e-09
0.4560000000000001,9.666698698788031e-09
0.4800000000000001,1.91986532638038e-08
0.5040000000000001,3.721775964551449e-08
0.5280000000000001,6.987371250533679e-08
0.5520000000000002,1.260307982732429e-07
0.5760000000000002,2.169065672689714e-07
0.6000000000000002,3.548351807076788e-07
0.6240000000000002,5.52065321176579e-07
0.6480000000000002,8.209354364639252e-07
0.6720000000000003,1.17545715759315e-06
0.6960000000000003,1.632885220512281e-06
0.7200000000000003,2.214102069888525e-06
0.7440000000000003,2.942716414246148e-06
0.7680000000000003,3.843344491059641e-06
0.7920000000000004,4.939582360247914e-06
0.8160000000000004,6.252077791130962e-06
0.8400000000000004,7.797011244349929e-06
0.8640000000000004,9.585178990889895e-06
0.8880000000000005,1.162173030364708e-05
0.9120000000000005,1.390647772940032e-05
0.9360000000000005,1.643461258381014e-05
0.9600000000000005,1.919763165338705e-05
0.9840000000000005,2.218430452097594e-05
1.008,2.538156034839197e-05
1.032,2.877522626225646e-05
1.056,3.235059315280357e-05
1.080000000000001,3.609281397045102e-05
1.104000000000001,3.998715554881529e-05
1.128000000000001,4.401913117988528e-05
1.152000000000001,4.817454152652993e-05
1.176000000000001,5.243944918002663e-05
1.2,5.680010948347387e-05
