/NM1/D X,/NM1/D Y
0,6.276347685401834e-05
0.024,5.667899220928811e-05
0.048,5.084942909829243e-05
0.07200000000000001,4.528721641135427e-05
0.096,4.000596096421352e-05
0.12,3.502036580225027e-05
0.144,3.034602775674535e-05
0.168,2.599905346662669e-05
0.192,2.199542095171548e-05
0.216,1.83500115171632e-05
0.24,1.507525721002714e-05
0.264,1.217940900032681e-05
0.288,9.664544658828285e-06
0.312,7.524599947087639e-06
0.336,5.743881008094253e-06
0.36,4.296609534367267e-06
0.3840000000000001,3.147954486666243e-06
0.4080000000000001,2.256664900340086e-06
0.4320000000000001,1.578933617442278e-06
0.4560000000000001,1.072704853410816e-06
0.4800000000000001,7.014207835039785e-07
0.5040000000000001,4.360830475940506e-07
0.5280000000000001,2.545760290613447e-07
0.5520000000000002,1.384865926033515e-07
0.5760000000000002,7.027127892202629e-08
0.6000000000000002,3.355762266727014e-08
0.6240000000000002,1.527921500464364e-08
0.6480000000000002,6.722228479176835e-09
0.6720000000000003,2.890347016668763e-09
0.6960000000000003,1.224941334883398e-09
0.7200000000000003,5.148640758162227e-10
0.7440000000000003,2.157038521152558e-10
0.7680000000000003,9.059088360048757e-11
0.7920000000000004,3.850408421868211e-11
0.8160000000000004,1.68789226948075e-11
0.8400000000000004,7.913053651875976e-12
0.8640000000000004,4.194823411211911e-12
0.8880000000000005,2.647693397069307e-12
0.9120000000000005,1.997260769320322e-12
0.9360000000000005,1.716492554843388e-12
0.9600000000000005,1.587765601308193e-12
0.9840000000000005,1.521371190503276e-12
1.008,1.480409497417404e-12
1.032,1.449748802711515e-12
1.056,1.423212197066292e-12
1.080000000000001,1.398295955492744e-12
1.104000000000001,1.373996558922082e-12
1.128000000000001,1.349919119897037e-12
1.152000000000001,1.325913192865988e-12
1.176000000000001,1.30192518825222e-12
1.2,1.277938676746794e-12
